,ClonalityCatFinal,USDAGroup,USDAHabit,USDADuration,PollMode1,DispMode1,Genus,Species,Family,USDACode,WorZ_SppCode,seedmass_mg,dispmass_mg,n_seed_pop,leaf_height_cm,flwr_height_cm,n_height_pop,fresh_mass_g,dry_mass_g,n_leaf_pop,WI_native,WI_C,WI_W,MO_native,MO_C,MO_W,underground,jmclonal,WI_wet,MO_wet,sla,n_sla_pop
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,ClonalGuer,Dicot,Forb_herb,Perennial,Bee,Ballistic,Pedicularis,canadensis,Scrophulariaceae,PECA,ZPEDCAN,NA,NA,NA,12.5,19.8,1,6.46,1.505,1,NA,NA,NA,native,5,3,5,5,FACU,FACU,145.7747508,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,NonClonal,Dicot,Forb_herb,Perennial,Bee,Unassisted,Penstemon,digitalis,Scrophulariaceae,PEDI,WPENDIG,0.0996,0.0996,1,32.6,74.7,1,4.515,1.375,1,native,3,NA,native,3,0,NA,3,FAC,FAC,133.8196364,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,NonClonal,Dicot,Forb_herb,Perennial,Bee,Unassisted,Pediomelum,esculentum,Fabaceae,PEES,ZPSOESC,17.20173333,17.20173333,1,22.2,21.9,1,2.175,0.525,2,NA,NA,NA,NA,NA,NA,3,3,NA,NA,145.2193548,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,NA,Dicot,NA,NA,NA,NA,Penstemon,spp.,Scrophulariaceae,PENST,ZPENSPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,NonClonal,Dicot,Forb_herb,Perennial,Bee,Unassisted,Penstemon,pallidus,Scrophulariaceae,PEPA7,ZPENPAL,0.069466667,0.069466667,1,20.1,34,1,3.485,1.105,1,NA,NA,NA,native,5,5,NA,3,UPL,FACU,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Unassisted,Physostegia,angustifolia,Lamiaceae,PHAN6,ZPHYANG,0.925733333,0.925733333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,6,-3,4,4,FAC,FACW,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,NonClonal,Dicot,Forb_herb,Perennial,Insect,Wind,Talinum,calycinum,Portulacaceae,PHCA48,ZTALCAL,0.402,0.402,1,5.65,20.15,2,0.8225,0.08,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,87.92380952,1
