,ClonalityCatFinal,USDAGroup,USDAHabit,USDADuration,PollMode1,DispMode1,Genus,Species,Family,USDACode,WorZ_SppCode,seedmass_mg,dispmass_mg,n_seed_pop,leaf_height_cm,flwr_height_cm,n_height_pop,fresh_mass_g,dry_mass_g,n_leaf_pop,WI_native,WI_C,WI_W,MO_native,MO_C,MO_W,underground,jmclonal,WI_wet,MO_wet,sla,n_sla_pop
64,NonClonal,Dicot,Forb_herb,Perennial,Bee,Unassisted,Psoralidium,tenuiflorum,Fabaceae,PSTE5,ZPSOTEN,NA,NA,NA,NA,NA,NA,1.735,0.455,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,123.7758242,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,ClonalGuer,Dicot,Forb_herb,Perennial,Bee,Unassisted,Pycnanthemum,tenuifolium,Lamiaceae,PYTE,ZPYCTEN,0.066533333,0.066533333,1,43.6,44.9,1,NA,NA,NA,NA,NA,NA,native,4,0,5,5,FAC,FACW,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,ClonalGuer,Dicot,Forb_herb,Perennial,Bee,Unassisted,Pycnanthemum,pilosum,Lamiaceae,PYVEP,ZPYCPIL,NA,NA,NA,69.4,68.4,1,NA,NA,NA,NA,NA,NA,native,5,3,5,5,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Unassisted,Ratibida,pinnata,Asteraceae,RAPI,ZRATPIN,0.756833333,0.756833333,2,86.5,94,1,5.0525,1.02,2,NA,NA,NA,native,4,5,4,4,NA,NA,174.6379311,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Unassisted,Ruellia,humilis,Acanthaceae,RUHU,ZRUEHUM,4.8166,4.8166,1,13.2,13,1,0.575,0.17,1,NA,NA,NA,native,3,3,4,4,FACU,FACU,163.0058824,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Unassisted,Rudbeckia,missouriensis,Asteraceae,RUMI,ZRUDMIS,0.5074,0.5074,1,NA,NA,NA,2.555,0.5475,2,NA,NA,NA,native,6,3,4,4,FACU,UPL,111.5394529,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,NonClonal,Dicot,Forb_herb,Annual,Bee,Wind,Sabatia,angularis,Gentianaceae,SAAN,ZSABANG,NA,NA,NA,44.7,47.2,1,0.805,0.18,1,NA,NA,NA,native,4,0,1,1,FAC,FAC,258.3333333,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,NonClonal,Dicot,Forb_herb,Annual,Bee,Wind,Sabatia,campestris,Gentianaceae,SACA3,ZSABCAM,NA,NA,NA,6.4,8,1,0.1675,0.0275,2,NA,NA,NA,native,4,3,1,1,FACU,FACU,222.6833333,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Ballistic,Scutellaria,bushii,Lamiaceae,SCBU,ZSCUBUS,1.4636,1.4636,1,NA,NA,NA,0.4675,0.1275,2,NA,NA,NA,native,10,5,4,2,NA,NA,161.1090476,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,NA,Monocot,Graminoid,NA,NA,NA,Scleria,Spp.,Cyperaceae,SCLER2,ZSCLSPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,ClonalGuer,Monocot,Graminoid,Perennial,Wind,Unassisted,Scleria,oligantha,Cyperaceae,SCOL2,ZSCLOLI,1.275,1.275,1,29,23.7,1,1.45,0.535,1,NA,NA,NA,native,8,3,5,5,FACU,FACU,156.3495327,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,ClonalGuer,Monocot,Graminoid,Perennial,Wind,Unassisted,Scleria,pauciflora,Cyperaceae,SCPA5,ZSCLPAU,2.3736,2.3736,1,25.9,22.3,1,0.555,0.2,1,NA,NA,NA,native,6,3,5,5,FACU,FACU,142.15,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Ballistic,Scutellaria,parvula,Lamiaceae,SCPA7,ZSCUPAR,0.2004,0.2004,1,14,12.5,1,0.26,0.065,2,NA,NA,NA,NA,NA,NA,4,4,FACU,UPL,251.3472222,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,ClonalPhl,Monocot,Graminoid,Perennial,Wind,Wind,Scirpus,pendulus,Cyperaceae,SCPE4,ZSCIPEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,5,-5,4,4,OBL,OBL,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,ClonalPhl,Monocot,Graminoid,Perennial,Wind,Wind,Andropogon,scoparium,Poaceae,SCSC,ZANDSCO,0.175066667,1.1056,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,FACU,FACU,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,NonClonal,Dicot,Forb_herb,ABP,Bee,Unassisted,Sedum,pulchellum,Crassulaceae,SEPU,ZSEDPUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,7,3,1,2,FACU,FACU,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,NonClonal,Dicot,Forb_herb,Annual,Bee,Unassisted,Silene,antirrhina,Caryophyllaceae,SIAN2,ZSILANT,0.1064,0.1064,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,2,5,1,1,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,NonClonal,Monocot,Forb_herb,Perennial,Bee,Unassisted,Sisyrinchium,campestre,Iridaceae,SICA9,ZSISCAM,0.789933333,0.789933333,1,21.5,21.2,1,0.295,0.0825,2,NA,NA,NA,native,5,5,3,2,NA,NA,132.9684211,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Unassisted,Silphium,integrifolium,Asteraceae,SIIN2,ZSILINT,8.184133333,8.184133333,1,NA,NA,NA,10.905,2.96,2,NA,NA,NA,NA,NA,NA,4,4,FACU,FAC,103.8071637,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,NonClonal,Dicot,Forb_herb,Perennial,Bee,Unassisted,Silphium,laciniatum,Asteraceae,SILA3,ZSILLAC,26.3252,26.3252,1,104.3,148,1,66.695,18.74666667,3,NA,NA,NA,native,6,5,3,3,NA,NA,65.81132204,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,NonClonal,Dicot,Forb_herb,Perennial,Bee,Unassisted,Silphium,terebinthinaceum,Asteraceae,SITE,ZSILTER,9.8675,9.8675,2,NA,NA,NA,90.395,22.58666667,3,NA,NA,NA,native,5,0,3,3,FAC,FACU,71.54401479,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,NonClonal,Dicot,Forb_herb,Perennial,Bee,Wind,Solidago,gattingeri,Asteraceae,SOGA,ZSOLGAT,0.039733333,0.111333333,1,NA,NA,NA,3.17,0.845,1,NA,NA,NA,native,10,5,NA,2,NA,NA,118.8248521,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Solidago,nemoralis,Asteraceae,SONE,ZSOLNEM,0.0341,0.066533333,2,NA,NA,NA,1.91,0.64,1,NA,NA,NA,NA,NA,NA,4,4,NA,NA,105.2984375,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,ClonalPhl,Monocot,Graminoid,Perennial,Wind,Unassisted,Sorghastrum,nutans,Poaceae,SONU2,ZSORNUT,1.335133333,1.623466667,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,4,3,4,4,FACU,FACU,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Solidago,radula,Asteraceae,SORA,ZSOLRAD,0.037333333,0.0548,1,NA,NA,NA,1.485,0.435,1,NA,NA,NA,native,6,5,4,4,NA,NA,114.0482759,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,NonClonal,Monocot,Graminoid,Perennial,Wind,Unassisted,Sporobolus,clandestinus,Poaceae,SPCL,ZSPOCLA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,5,5,NA,3,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,ClonalPhl,Monocot,Graminoid,Perennial,Wind,Unassisted,Sporobolus,asper,Poaceae,SPCO16,ZSPOASP,0.990666667,1.231,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,ClonalGuer,Monocot,Graminoid,Perennial,Wind,Unassisted,Sporobolus,heterolepis,Poaceae,SPHE,ZSPOHET,1.655466667,1.655466667,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,6,3,5,5,FACU,UPL,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,NonClonal,Monocot,Graminoid,Annual,Wind,Unassisted,Sporobolus,ozarkanus,Poaceae,SPVAO,ZSPOOZA,1.304666667,1.304666667,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,2,5,1,1,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,ClonalGuer,Dicot,Forb_herb,Perennial,Bee,Bird,Stylosanthes,biflora,Fabaceae,STBI2,ZSTYBIF,NA,NA,NA,15,14,1,0.48,0.18,1,NA,NA,NA,native,5,5,5,5,NA,NA,120.0722222,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,NonClonal,Dicot,Forb_herb,Perennial,Bee,Unassisted,"	Houstonia",nigricans,Rubiaceae,STNI6,ZHOUNIG,0.069066667,0.069066667,1,22.4,22,1,0.228333333,0.056666667,3,NA,NA,NA,native,5,5,NA,2,NA,NA,174.52,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,NonClonal,Dicot,Forb_herb,Perennial,Bee,Bird,Strophostyles,umbellata,Fabaceae,STUM2,ZSTRUMB,31.320625,31.320625,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,3,3,NA,2,FACU,FACU,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,NonClonal,Dicot,Forb_herb,Perennial,Bee,Ballistic,Claytonia,virginica,Portulacaceae,CLVI3,ZCLAVIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,3,3,NA,3,FACU,FAC,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,NonClonal,Dicot,Forb_herb,AB,NA,Wind,Conyza,canadensis,Asteraceae,COCA5,ZCONCAN,0.038,0.039533333,1,39.9,46.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Unassisted,Coreopsis,lanceolata,Asteraceae,COLA5,ZCORLAN,1.085233333,1.183066667,2,19.3,48.9,1,2.255,0.325,2,NA,NA,NA,native,5,5,4,4,FACU,FACU,122.4830769,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Aster,laevis,Asteraceae,SYLA3,ZASTLAE,0.075933333,0.145933333,1,NA,NA,NA,2.28,0.735,1,NA,NA,NA,NA,NA,NA,4,4,FACU,FACU,136.6367347,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Aster,oblongifolius,Asteraceae,SYOB,ZASTOBL,0.285866667,0.322133333,1,NA,NA,NA,1.005,0.325,1,NA,NA,NA,NA,NA,NA,4,4,NA,NA,133.7015385,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Aster,azureus,Asteraceae,SYOO,ZASTAZU,0.128133333,0.195933333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Aster,patens,Asteraceae,SYPA11,ZASTPAT,0.3002,0.393266667,1,49.9,51.4,1,0.94,0.3,1,NA,NA,NA,NA,NA,NA,4,4,NA,NA,153.8766667,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Aster,sericeus,Asteraceae,SYSE2,ZASTSER,0.086866667,0.2306,1,NA,NA,NA,0.5,0.125,1,NA,NA,NA,NA,NA,NA,4,4,NA,NA,151.384,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,ClonalGuer,Dicot,Forb_herb,Perennial,Bee,Unassisted,Coreopsis,palmata,Asteraceae,COPA10,ZCORPAL,1.489366667,1.489366667,2,40.85,46.7,2,0.7825,0.235,2,NA,NA,NA,native,7,5,5,4,NA,NA,109.9885254,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,ClonalGuer,Dicot,Forb_herb,Perennial,Bee,MammalBird,Comandra,umbellata,Santalaceae,COUM,ZCOMUMB,NA,NA,NA,24.1,20.1,1,0.3225,0.0925,2,NA,NA,NA,native,7,5,5,5,FACU,FACU,161.6,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,NonClonal,Dicot,Forb_herb,Annual,Bee,Unassisted,Trichostema,brachiatum,Lamiaceae,TRBR5,ZTRIBRA,1.643133333,1.643133333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,4,5,1,1,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,ClonalPhl,Monocot,Graminoid,Perennial,Wind,MammalBird,Tridens,flavus,Poaceae,TRFLF,ZTRIFLA,0.834333333,0.834333333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-native,0,5,4,4,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,NonClonal,Dicot,Forb_herb,Perennial,Fly,Ballistic,Tragia,ramosa,Euphorbiaceae,TRRA5,ZTRARAM,11.46361538,99.158,1,22.2,21.3,1,4.425,1.265,1,NA,NA,NA,native,7,5,NA,2,NA,NA,138.8909091,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,NonClonal,Dicot,Forb_herb,Annual,NA,Wind,Valerianella,NA,Valerianaceae,VALER2,ZVALSPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Wind,Vernonia,arkansana,Asteraceae,VEAR3,ZVERARK,1.4064,1.531266667,1,NA,NA,NA,4.605,1.49,1,NA,NA,NA,native,7,0,4,4,FAC,FAC,112.6026846,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Adhesive,Verbesina,helianthoides,Asteraceae,VEHE,ZVERHEL,1.487133333,1.487133333,1,86.7,94.6,1,4.11,1.225,1,NA,NA,NA,native,5,5,4,4,NA,NA,154.6653061,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,NonClonal,Dicot,Forb_herb,Perennial,Bee,Unassisted,Verbena,simplex,Verbenaceae,VESI,ZVERSIM,0.535,0.535,1,22.13333333,30.53333333,1,0.675,0.17,2,NA,NA,NA,native,3,5,NA,2,NA,NA,156.1619048,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,NonClonal,Dicot,Forb_herb,Biennial,Bee,Unassisted,Verbascum,thapsus,Scrophulariaceae,VETH,ZVERTHA,0.0736,0.0736,1,87.65079365,109.3968254,3,16.3675,3.8425,2,NA,NA,NA,non-native,0,5,1,1,UPL,FACU,142.7289021,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,ClonalPhl,Dicot,Forb_herb,Perennial,Bee,Ballistic,Viola,pedata,Violaceae,VIPE,ZVIOPED,NA,NA,NA,8.6,NA,1,1.113333333,0.253333333,3,NA,NA,NA,NA,NA,NA,4,3,UPL,FACU,97.95,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,NonClonal,Dicot,Forb_herb,Perennial,Bee,Unassisted,Zizia,aptera,Apiaceae,ZIAP,ZZIZAPT,0.324933333,0.324933333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,7,3,3,3,FACU,FAC,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,NonClonal,Dicot,Forb_herb,Annual,Bee,Ant,Croton,L.,Euphorbiaceae,CROTO,ZCRONOD,9.723,9.723,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,NonClonal,Dicot,Forb_herb,NA,Bee,Unassisted,Cuscuta,L.,Cuscutaceae,CUSCU,ZCUSSPP,0.599466667,0.599466667,1,25.33333333,21.33333333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,NonClonal,Monocot,Graminoid,Annual,Wind,Unassisted,Cyperus,squarrosus,Cyperaceae,CYSQ,ZCYPSQU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,3,-5,1,1,OBL,FACW,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,NonClonal,Dicot,Forb_herb,Perennial,Bee,Unassisted,Dalea,candida,Fabaceae,DACA7,ZDALCAN,1.766066667,2.6696,1,64.6,69.9,1,1.4875,0.39,2,NA,NA,NA,native,8,5,3,3,NA,NA,135.7389507,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,NonClonal,Dicot,Forb_herb,Perennial,Bee,Unassisted,Dalea,purpurea,Fabaceae,DAPU5,ZDALPUR,0.6002,2.406533333,1,35.6,37.8,1,0.42,0.13,1,NA,NA,NA,native,8,5,3,3,NA,NA,82.89230769,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,NonClonal,Dicot,Forb_herb,Perennial,Bee,Unassisted,Delphinium,carolinianum,Ranunculaceae,DECA3,ZDELCAR,0.615433333,0.615433333,2,52.33333333,71.41111111,3,1.846666667,0.25,3,NA,NA,NA,NA,NA,NA,2,2,NA,NA,200.3400731,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,NonClonal,Dicot,Forb_herb,Perennial,Bee,Adhesive,Desmodium,ciliare,Fabaceae,DECI,ZDESCIL,2.4774,5.2988,1,NA,NA,NA,0.6925,0.2325,2,NA,NA,NA,native,5,5,NA,2,NA,NA,155.8648824,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,NonClonal,Dicot,Forb_herb,Perennial,Bee,Adhesive,Desmodium,obtusum,Fabaceae,DEOB5,ZDESOBT,2.413733333,3.548666667,1,36.2,58.7,1,NA,NA,NA,NA,NA,NA,native,6,5,NA,2,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,NonClonal,Dicot,Forb_herb,Perennial,Bee,Adhesive,Desmodium,sessilifolium,Fabaceae,DESE,ZDESSES,2.6936,4.313333333,1,NA,NA,NA,2.61,0.98,1,NA,NA,NA,native,5,5,NA,2,NA,NA,136.9744898,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,NonClonal,Dicot,Forb_herb,Perennial,Bee,Unassisted,Delphinium,treleasei,Ranunculaceae,DETR3,ZDELTRE,1.318433333,1.318433333,2,38.7,77.3,1,8.08,1.3,1,NA,NA,NA,native,10,5,NA,2,NA,NA,150.6292308,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,NonClonal,Monocot,Graminoid,Perennial,Wind,Unassisted,Dichanthelium,acuminatum,Poaceae,DIAC2,ZDICACU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,FAC,FAC,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,NonClonal,Monocot,Graminoid,Perennial,Wind,Unassisted,Dichanthelium,acuminatum var. fasciculatum,Poaceae,DIACF,ZDICLAF,0.249714286,0.249714286,1,14.5,15.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,NonClonal,Monocot,Graminoid,Perennial,Wind,Unassisted,Dichanthelium,boreale,Poaceae,DIBO,ZDICBIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,6,3,NA,2,FAC,FACU,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,NonClonal,Monocot,Graminoid,Perennial,Wind,Unassisted,Dichanthelium,commutatum,Poaceae,DICO2,ZDICCOA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FAC,FACU,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,NA,NA,Graminoid,Perennial,Wind,Unassisted,Dichanthelium,hybrid,Poaceae,DICXXX,ZDICLXA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,NonClonal,Monocot,Graminoid,Perennial,Wind,Unassisted,Dichanthelium,linearifolium,Poaceae,DILI2,ZDICLIN,0.472363636,0.472363636,1,26.3,19.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,NonClonal,Monocot,Graminoid,Perennial,Wind,Unassisted,Dichanthelium,oligosanthes,Poaceae,DIOL,ZDICOLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,4,3,2,2,FACU,FACU,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
